Designator,Mid X,Mid Y,Rotation,Layer
A1,441.192718,-115.899307,0.0,top
D1,95.25,-109.5375,90.0,top
D10,266.7,-109.5375,90.0,top
D100,366.3925,-133.6675,0.0,top
D101,111.694,-152.7175,0.0,top
D102,137.7925,-152.7175,0.0,top
D103,156.8425,-152.7175,0.0,top
D104,175.8925,-152.7175,0.0,top
D105,194.9425,-152.7175,0.0,top
D106,213.9925,-152.7175,0.0,top
D107,233.0425,-152.7175,0.0,top
D108,252.0925,-152.7175,0.0,top
D109,271.1425,-152.7175,0.0,top
D11,285.75,-109.5375,90.0,top
D110,290.1925,-152.7175,0.0,top
D111,309.2425,-152.7175,0.0,top
D112,328.2925,-152.7175,0.0,top
D113,359.24875,-152.7175,0.0,top
D114,116.36125,-171.7675,0.0,top
D115,147.3175,-171.7675,0.0,top
D116,225.89875,-190.8175,0.0,top
D117,166.3675,-171.7675,0.0,top
D118,297.33625,-190.8175,0.0,top
D119,185.4175,-171.7675,0.0,top
D12,304.8,-109.5375,90.0,top
D120,321.14875,-190.8175,0.0,top
D121,204.4675,-171.7675,0.0,top
D122,344.96125,-190.8175,0.0,top
D123,223.5175,-171.7675,0.0,top
D124,368.77375,-190.8175,0.0,top
D125,242.5675,-171.7675,0.0,top
D126,392.90629,-190.8175,0.0,top
D127,261.6175,-171.7675,0.0,top
D128,392.90629,-171.7675,0.0,top
D129,280.6675,-171.7675,0.0,top
D13,323.85,-109.5375,90.0,top
D130,392.90629,-152.7175,0.0,top
D131,299.7175,-171.7675,0.0,top
D132,392.90629,-133.6675,0.0,top
D133,318.7675,-171.7675,0.0,top
D134,411.95629,-133.6675,0.0,top
D135,354.48625,-171.7675,0.0,top
D136,411.95629,-152.7175,0.0,top
D137,106.83625,-190.8175,0.0,top
D138,411.95629,-171.7675,0.0,top
D139,130.64875,-190.8175,0.0,top
D14,345.28125,-109.5375,90.0,top
D140,411.95629,-190.8175,0.0,top
D141,154.46125,-190.8175,0.0,top
D142,435.76879,-190.8175,0.0,top
D15,95.25,-128.5875,90.0,top
D16,123.825,-128.5875,90.0,top
D17,142.875,-128.5875,90.0,top
D18,161.925,-128.5875,90.0,top
D19,180.975,-128.5875,90.0,top
D2,114.3,-109.5375,90.0,top
D20,200.025,-128.5875,90.0,top
D21,219.075,-128.5875,90.0,top
D22,238.125,-128.5875,90.0,top
D23,257.175,-128.5875,90.0,top
D24,276.225,-128.5875,90.0,top
D25,295.275,-128.5875,90.0,top
D26,314.325,-128.5875,90.0,top
D27,333.375,-128.5875,90.0,top
D28,354.80625,-128.5875,90.0,top
D29,102.39375,-147.6375,90.0,top
D3,133.35,-109.5375,90.0,top
D30,128.5875,-147.6375,90.0,top
D31,147.6375,-147.6375,90.0,top
D32,166.6875,-147.6375,90.0,top
D33,185.7375,-147.6375,90.0,top
D34,204.7875,-147.6375,90.0,top
D35,223.8375,-147.6375,90.0,top
D36,242.8875,-147.6375,90.0,top
D37,261.9375,-147.6375,90.0,top
D38,280.9875,-147.6375,90.0,top
D39,300.0375,-147.6375,90.0,top
D4,152.4,-109.5375,90.0,top
D40,319.0875,-147.6375,90.0,top
D41,340.51875,-147.6375,90.0,top
D42,335.75625,-166.6875,90.0,top
D43,100.0125,-166.6875,90.0,top
D44,138.1125,-166.6875,90.0,top
D45,157.1625,-166.6875,90.0,top
D46,176.2125,-166.6875,90.0,top
D47,195.2625,-166.6875,90.0,top
D48,214.3125,-166.6875,90.0,top
D49,233.3625,-166.6875,90.0,top
D5,171.45,-109.5375,90.0,top
D50,252.4125,-166.6875,90.0,top
D51,271.4625,-166.6875,90.0,top
D52,290.5125,-166.6875,90.0,top
D53,309.5625,-166.6875,90.0,top
D54,97.63125,-185.7375,90.0,top
D55,121.44375,-185.7375,90.0,top
D56,145.25625,-185.7375,90.0,top
D57,214.3125,-185.7375,90.0,top
D58,288.13125,-185.7375,90.0,top
