Product,Quantity,Source,Price($),Link
3D Printed Case,-,School Printer,-,-
Key Stabilizers,5,AliExpress,5.19,https://a.aliexpress.com/_mPFUoOH
Keycaps,1,AliExpress,8.17,https://a.aliexpress.com/_mLLmu53
Switches,70,TikTok Shop,20.00,https://www.tiktok.com/t/ZP98jg52vnE6u-AkbOb/
PCB,1,JLCPCB,23.60,-
1N4148 Diodes,72,AliExpress,23.60,https://a.aliexpress.com/_mM0KaXP
EC11 Rotary Encoder,1,AliExpress,1.58,https://a.aliexpress.com/_mOKYpCH
0.91 inch OLED display,1,AliExpress,2.37,https://a.aliexpress.com/_mNspyVF
Raspberry Pi Pico,1,AliExpress,3.96,https://a.aliexpress.com/_m0asVHP
SK6812 MINI-E,70,AliExpress,3.50,https://a.aliexpress.com/_m0NRr4N
M3 Threaded Inserts,12,Have Already,-,-
M3 Screws,12,Have Already,-,-
